census_tract_number,Walkability,Total Population,% 0 Vehicle HH,% 1 Vehicle HH,% 2+ Vehicle HH,% Low Wage Workers,Population Density,Employment Density,Pedestrian Network Density,Transit Frequency,state_x,county_x,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,state_y,county_y,life_expectancy,obesity
48439102301,15.83333333,1098,0.270557029,0.103448276,0.625994695,0.256351039,5.276673254,10.31786655,6.365472142,12.56831634,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,73.2,39.0
48439113916,5.833333333,705,0.0,0.465277778,0.534722222,0.180076628,22.14058992,0.15702546,9.757386639,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,73.8,31.6
48439111523,8.166666667,986,0.0,0.842436975,0.157563025,0.24082232,4.154744588,1.622288708,10.21962867,-99999.0,Texas,Tarrant County,1,1,1,1,TX,Arlington,75.6,37.1
48439121905,8.333333333,2124,0.215316315,0.51054384,0.274139845,0.298145506,32.71141832,2.109917284,18.89883142,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,74.7,39.7
48439111549,7.0,3619,0.0,0.345816733,0.654183267,0.180236172,13.19535637,0.357321062,13.37202295,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Grand Prairie,80.2,30.4
48439121703,8.333333333,1547,0.086206897,0.431034483,0.482758621,0.262582057,23.804108,3.231326878,13.47546554,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,76.7,40.4
48439111553,10.83333333,1447,0.0,0.738863287,0.261136713,0.237288136,12.53924724,4.809455575,12.02854113,-99999.0,Texas,Tarrant County,0,1,0,0,TX,Arlington,83.9,30.4
48439111408,8.0,3119,0.011659193,0.234977578,0.753363229,0.22089155,2.529513396,0.802891395,6.689540166,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,74.7,29.8
48439104803,12.83333333,1614,0.064343164,0.058981233,0.876675603,0.232653061,17.71034084,0.362107341,22.93850974,14.04537563,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,75.7,39.0
48439113921,13.16666667,1934,0.0,0.047748977,0.952251023,0.17196057,12.48067059,3.813896751,26.42359271,8.260216313,Texas,Tarrant County,0,0,0,0,TX,Fort Worth,80.4,28.4
48439101201,5.833333333,529,0.0,0.113300493,0.886699507,0.222222222,0.151630224,2.166391751,4.635560834,1.294125833,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,72.6,37.9
48439104505,15.16666667,2123,0.13909224,0.330893119,0.530014641,0.259052925,4.964312602,1.601768315,13.35404249,16.23464655,Texas,Tarrant County,0,1,0,0,TX,Fort Worth,73.5,46.3
48439101302,12.16666667,1114,0.046920821,0.319648094,0.633431085,0.3125,2.895468284,0.662786726,8.444800681,22.73956277,Texas,Tarrant County,1,1,1,0,TX,Fort Worth,72.1,44.5
48157672100,11.0,1786,0.119850187,0.293383271,0.586766542,0.167964405,2.554612445,7.553700068,13.15879668,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Sugar Land,78.1,22.7
48157674501,8.666666667,14142,0.014325323,0.295286506,0.69038817,0.158477756,2.511691836,0.349171698,6.643674869,0.905796435,Texas,Fort Bend County,0,0,0,0,TX,Missouri City,85.3,27.8
48157671502,12.0,1640,0.02004008,0.114228457,0.865731463,0.167420814,3.840229769,5.774394275,14.38003201,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Missouri City,79.6,23.8
48157672001,8.5,2076,0.042071197,0.061488673,0.896440129,0.212343096,1.274436216,11.10895846,7.185925761,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Sugar Land,79.7,24.3
48157672001,8.5,2076,0.042071197,0.061488673,0.896440129,0.212343096,1.274436216,11.10895846,7.185925761,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Houston,79.7,29.6
48157672301,9.166666667,7712,0.042259414,0.223849372,0.733891213,0.201444416,8.253168954,0.997400605,13.75892084,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Sugar Land,82.3,21.3
48157672900,7.833333333,51536,0.002401506,0.184851042,0.812747452,0.186330479,4.410976258,0.258225616,9.828774924,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Houston,82.2,27.8
48157671002,6.833333333,1482,0.035714286,0.383928571,0.580357143,0.229268293,5.365224828,0.206354801,15.353898,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Missouri City,80.7,35.3
48157672200,7.0,1249,0.0,0.398613518,0.601386482,0.204411765,1.168078653,0.87442237,8.644394494,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Sugar Land,80.3,28.2
48157673002,7.333333333,5795,0.010875476,0.346383904,0.64274062,0.166921899,3.081977223,0.214329046,5.75570739,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Houston,81.0,28.5
48157673102,11.83333333,11280,0.033291615,0.270337922,0.696370463,0.166386907,7.466706915,1.934856765,19.25083038,-99999.0,Texas,Fort Bend County,0,0,0,0,TX,Houston,80.1,26.3
48439113109,10.83333333,1626,0.024193548,0.606451613,0.369354839,0.254691689,7.519159004,12.89262934,10.30412257,-99999.0,Texas,Tarrant County,0,0,0,0,TX,Arlington,79.0,34.2
48439113116,9.5,2842,0.13190184,0.40797546,0.460122699,0.230263158,21.13344431,4.022939259,17.34309361,-99999.0,Texas,Tarrant County,1,1,1,1,TX,Grand Prairie,77.0,34.3
